Jugador,market_value,matches_played,Acciones_que_crean_tiros,Toques_en_area_rival,Pases_recibidos,Acarreos_ultimo_tercio,days_left_on_contract,xAG,Pases_progresivos,npxG,Regates_exitosos,Pases_al_hueco,Pases_progresivos_recibidos,Perdida_balon,Veces_que_fue_barrido_regate,Malos_controles,Pases_fuera_de_juego,Faltas_cometidas,Edad_c,Edad_c2,GK,CB,WB,LW,RW,FW,market_value_num,target_log,Nacionalidad
Yehor Yarmoliuk,15.0,31,0.8387096774193549,0.4838709677419355,19.322580645161292,0.6129032258064516,2130,0.025806451612903226,2.032258064516129,0.019354838709677424,0.41935483870967744,0.12903225806451613,1.5161290322580645,0.6774193548387096,0.3548387096774194,0.8387096774193549,0.03225806451612903,0.6129032258064516,-4.960175473797495,24.603340730862204,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,15.0,2.772588722239781,Ukraine
Yehvann Diouf,12.0,34,0.20588235294117646,0.029411764705882353,16.91176470588235,0.0,1765,0.0,0.029411764705882353,0.0029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.0,-0.6944220491399626,0.4822219823317447,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.5649493574615367,Senegal
Yellu Santiago,0.9,19,0.3157894736842105,0.21052631578947367,5.105263157894737,0.2631578947368421,1035,0.0,0.8421052631578947,0.0,0.05263157894736842,0.0,0.21052631578947367,0.0,0.3157894736842105,0.42105263157894735,0.0,0.7368421052631579,-5.195791912153659,26.996253594401377,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6418538861723948,Spain
Yeray Alvarez,7.0,21,0.8571428571428571,0.6666666666666666,43.0,0.38095238095238093,304,0.009523809523809525,5.0,0.023809523809523808,0.2857142857142857,0.047619047619047616,0.0,0.3333333333333333,0.14285714285714285,0.5238095238095238,0.19047619047619047,0.7142857142857143,4.111057402914835,16.900792970060863,0.0,0.9761904761904762,0.0,0.023809523809523808,0.0,0.0,7.0,2.0794415416798357,Spain
Yeremi Pino,30.0,34,1.9705882352941178,3.0588235294117645,19.647058823529413,0.7647058823529411,669,0.15294117647058825,1.9411764705882353,0.11176470588235295,0.7352941176470589,0.17647058823529413,6.264705882352941,0.6764705882352942,0.7352941176470589,1.5294117647058822,0.0,1.4411764705882353,-3.5985316381810577,12.949429950990046,0.0,0.0,0.014705882352941176,0.11764705882352941,0.0,0.0,30.0,3.4339872044851463,Spain
Yerry Mina,3.0,31,0.8387096774193549,1.3870967741935485,31.258064516129032,0.3548387096774194,1035,0.009677419354838712,2.4516129032258065,0.07419354838709678,0.0967741935483871,0.03225806451612903,0.2903225806451613,0.41935483870967744,0.06451612903225806,0.6451612903225806,0.0967741935483871,1.2903225806451613,4.469961512503875,19.980555923265932,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.3862943611198906,Colombia
Yerson Mosquera,8.0,5,1.0,1.4,36.4,0.2,1765,0.02,1.4,0.08,0.0,0.0,0.0,0.2,0.0,0.8,0.2,1.2,-2.80401109023585,7.862478194165639,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.1972245773362196,Colombia
Ylber Ramadani,1.8,29,1.206896551724138,0.27586206896551724,22.448275862068964,0.3793103448275862,304,0.034482758620689655,2.0689655172413794,0.017241379310344827,0.4482758620689655,0.06896551724137931,0.2413793103448276,0.7586206896551724,0.3793103448275862,0.7241379310344828,0.1724137931034483,0.6206896551724138,2.924756033051821,8.554197852873026,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0296194171811581,Albania
Yoane Wissa,32.0,35,1.9714285714285715,4.6571428571428575,18.8,0.7428571428571429,304,0.07142857142857142,1.9142857142857144,0.5342857142857143,0.42857142857142855,0.14285714285714285,4.4,1.0,0.6857142857142857,2.2,0.08571428571428572,0.9714285714285714,2.5302354851066156,6.40209161009271,0.0,0.0,0.0,0.014285714285714285,0.0,0.9285714285714286,32.0,3.4965075614664802,Democratic Republic of the Congo
Yoel Lago,1.0,8,0.25,0.25,45.0,0.375,1400,0.0125,3.875,0.0,0.375,0.25,0.0,0.125,0.125,0.625,0.0,2.0,-5.0451069806468105,25.453104446171178,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453,Spain
Youri Tielemans,38.0,36,3.388888888888889,1.25,46.30555555555556,0.7222222222222222,669,0.19722222222222224,6.527777777777778,0.06944444444444445,0.8611111111111112,0.6666666666666666,1.3333333333333333,0.8055555555555556,0.5277777777777778,0.8611111111111112,0.19444444444444445,1.1388888888888888,1.856262882366888,3.4457118884530273,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,38.0,3.6635616461296463,Belgium
Youssef Chermiti,8.0,4,0.0,0.75,3.25,0.0,669,0.0,0.25,0.025,0.25,0.0,1.5,0.25,0.0,0.0,0.0,0.25,-5.250586432701606,27.56865788727018,0.0,0.0,0.0,0.0,0.0,0.5,8.0,2.1972245773362196,Portugal
Youssef Maleh,3.2,22,1.3636363636363635,0.6818181818181818,19.045454545454547,0.5,669,0.03636363636363637,3.272727272727273,0.03636363636363637,0.18181818181818182,0.045454545454545456,1.6818181818181819,0.45454545454545453,0.2727272727272727,1.1363636363636365,0.22727272727272727,1.4545454545454546,0.33297521113401274,0.11087249122974036,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.4350845252893227,Morocco
Youssouf Fofana,30.0,35,1.7714285714285714,0.6,34.885714285714286,1.4,1035,0.09428571428571428,5.0285714285714285,0.03428571428571429,0.4,0.37142857142857144,0.9142857142857143,0.5714285714285714,0.4857142857142857,0.8571428571428571,0.11428571428571428,0.8,0.17407110154497119,0.03030074839307967,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.4339872044851463,France
Youssouf Ndayishimiye,12.0,23,1.3043478260869565,0.43478260869565216,45.21739130434783,0.5217391304347826,669,0.004347826086956522,3.739130434782609,0.034782608695652174,0.2608695652173913,0.08695652173913043,0.391304347826087,0.30434782608695654,0.08695652173913043,0.6086956521739131,0.21739130434782608,0.8260869565217391,0.3000984988052444,0.09005910898516128,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,12.0,2.5649493574615367,Burundi
