Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Silvi Clua,es ESP,CM,19-278,"Saturday November 2, 2024",0,1,0.0,0.0,0.0,0.0,0,47,47,47,1,1,1,1,17,3,0.0,0.0,0.0,2,45,1,0,0,39,39,39,1,2,0,5,0,50.0,1,2,0,0,40,2,2,0,4,80.0,,
Oriol Romeu,es ESP,CM,33-039,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,10,10,10,2,2,0,0,5,0,0.0,0.0,0.0,1,10,0,0,0,9,9,9,0,3,0,1,0,,0,0,0,0,6,0,1,0,1,100.0,€1.20m,30.06.2026
Oriol Romeu,es ESP,CM,33-039,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,10,10,10,2,2,0,0,5,0,0.0,0.0,0.0,1,10,0,0,0,9,9,9,0,3,0,1,0,,0,0,0,0,6,0,1,0,1,100.0,€1.60m,30.06.2027
Yangel Herrera,ve VEN,CM,26-293,"Saturday November 2, 2024",0,3,0.6,0.6,0.1,0.1,2,36,36,36,5,5,0,0,9,2,0.1,0.1,0.0,5,33,3,0,1,31,31,31,0,3,0,14,5,,0,4,2,1,35,7,4,1,1,50.0,€15.00m,30.06.2027
Miguel Gutierrez,es ESP,"WB,LB",23-098,"Saturday November 2, 2024",1,2,0.1,0.1,0.2,0.2,5,66,66,66,7,7,1,1,18,6,0.2,0.2,0.3,2,58,8,0,11,54,54,54,0,1,0,39,1,50.0,1,2,1,1,58,8,2,11,0,0.0,€20.00m,30.06.2030
Arnau Martinez,es ESP,"WB,RB",21-191,"Saturday November 2, 2024",1,2,0.2,0.2,0.7,0.7,7,61,61,61,7,7,1,1,22,3,0.7,0.7,0.3,6,54,7,1,2,54,54,54,0,1,0,26,4,100.0,0,1,3,0,50,6,1,2,3,100.0,€10.00m,30.06.2027
Daley Blind,nl NED,CB,34-238,"Saturday November 2, 2024",0,1,0.1,0.1,0.0,0.0,2,76,76,76,5,5,0,0,27,5,0.0,0.0,0.0,4,68,8,0,1,61,61,61,0,2,1,9,1,,0,2,1,0,53,0,0,1,1,50.0,€1.50m,30.06.2026
David Lopez,es ESP,CB,35-024,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,65,65,65,6,6,1,1,32,7,0.0,0.0,0.0,6,65,0,0,0,56,56,56,0,4,0,1,0,100.0,0,0,1,0,55,0,2,0,2,50.0,€1.00m,30.06.2026
David Lopez,es ESP,CB,35-024,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,65,65,65,6,6,1,1,32,7,0.0,0.0,0.0,6,65,0,0,0,56,56,56,0,4,0,1,0,100.0,0,0,1,0,55,0,2,0,2,50.0,€500k,30.06.2027
Juanpe,es ESP,CB,33-186,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,52,52,52,5,5,0,0,26,3,0.0,0.0,0.0,5,48,4,0,0,48,48,48,0,4,0,3,0,,0,2,0,0,37,0,0,0,7,77.8,,
Paulo Gazzaniga,ar ARG,GK,32-305,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,27,27,27,0,0,0,0,11,6,0.0,0.0,0.0,0,16,11,0,0,20,20,20,0,0,0,0,0,,0,0,0,0,8,0,0,0,0,,€2.50m,30.06.2027
Juan Cruz,es ESP,"FW,LW",24-191,"Saturday November 2, 2024",1,3,0.1,0.1,0.0,0.0,0,36,36,36,6,6,3,3,15,2,0.0,0.0,0.1,4,32,4,1,7,22,22,22,0,1,0,24,1,60.0,1,2,3,0,33,8,1,7,0,,€1.50m,30.06.2026
Miguel,es ESP,FW,25-060,"Saturday November 2, 2024",0,1,0.1,0.1,0.1,0.1,2,18,18,18,1,1,2,2,4,0,0.1,0.1,0.0,0,18,0,0,1,9,9,9,0,1,0,22,4,40.0,3,3,4,1,25,9,3,1,2,15.4,,
Darko Brasanac,rs SRB,AM,32-264,"Saturday November 2, 2024",0,0,0.0,0.0,0.1,0.1,2,26,26,26,5,5,0,0,16,1,0.1,0.1,0.1,2,21,5,0,0,25,25,25,0,3,0,9,1,,0,0,0,0,14,3,0,0,0,0.0,,
Roberto Lopez,es ESP,AM,24-192,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,1,0,0.0,0.0,0.0,0,4,0,0,0,3,3,3,0,0,0,1,0,,0,0,0,0,4,0,0,0,0,,,
Renato Tapia,pe PER,"LM,DM",29-097,"Saturday November 2, 2024",1,2,0.2,0.2,0.0,0.0,0,45,45,45,1,1,0,0,17,2,0.0,0.0,0.0,1,40,5,0,0,36,36,36,0,5,0,6,2,0.0,1,0,1,1,34,0,2,0,3,75.0,,
Seydouba Cisse,gn GUI,RM,23-266,"Saturday November 2, 2024",0,1,0.1,0.1,0.0,0.0,0,24,24,24,4,4,0,0,14,2,0.0,0.0,0.0,1,23,1,0,0,22,22,22,0,2,1,7,2,,0,2,0,0,18,0,1,0,0,0.0,,
Munir El Haddadi,ma MAR,"DM,RW",29-062,"Saturday November 2, 2024",1,1,0.0,0.0,0.0,0.0,1,7,7,7,1,1,0,0,3,0,0.0,0.0,0.0,1,7,0,0,0,7,7,7,0,0,0,5,1,,0,0,0,1,9,3,0,0,0,0.0,,
Yvan Neyou,cm CMR,DM,27-304,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,31,31,31,4,4,0,0,14,1,0.0,0.0,0.0,3,29,2,0,0,26,26,26,0,0,0,0,0,,0,0,0,0,26,0,1,0,0,,€3.00m,30.06.2028
Oscar Rodriguez Arnaiz,es ESP,"RM,DM",26-127,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,2,7,7,7,1,1,0,0,3,0,0.0,0.0,0.0,0,7,0,0,0,4,4,4,0,0,0,5,0,0.0,2,0,0,1,10,3,0,0,0,0.0,,
Enric Franquesa,es ESP,LB,27-250,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,34,34,34,2,2,2,2,12,3,0.0,0.0,0.1,0,29,5,0,5,23,23,23,0,1,0,9,1,50.0,0,0,1,0,20,5,1,5,0,,,
Matija Nastasic,rs SRB,CB,31-219,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,52,52,52,4,4,0,0,38,4,0.0,0.0,0.0,4,52,0,0,0,46,46,46,0,4,0,0,0,,0,0,0,0,45,0,2,0,0,0.0,,
Sergi,es ESP,CB,32-196,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,66,66,66,2,2,0,0,47,6,0.0,0.0,0.0,2,62,4,0,0,62,62,62,0,1,0,1,0,,0,0,0,0,58,0,2,0,2,66.7,,
Javi Hernandez,es ESP,CB,26-184,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,10,10,10,0,0,0,0,5,0,0.0,0.0,0.0,0,10,0,0,0,8,8,8,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,,€500k,30.06.2028
Adria Altimira,es ESP,RB,23-219,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,36,36,36,2,2,1,1,12,1,0.0,0.0,0.1,4,31,5,0,0,27,27,27,0,3,1,6,0,33.3,1,2,0,0,20,2,2,0,3,100.0,€1.50m,30.06.2026
Valentin Rosier,fr FRA,RB,28-075,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,19,19,19,1,1,0,0,9,1,0.0,0.0,0.0,2,14,5,0,1,15,15,15,0,0,0,4,1,,0,1,1,0,12,0,0,1,0,,€10.00m,30.06.2030
Valentin Rosier,fr FRA,RB,28-075,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,1,19,19,19,1,1,0,0,9,1,0.0,0.0,0.0,2,14,5,0,1,15,15,15,0,0,0,4,1,,0,1,1,0,12,0,0,1,0,,€3.00m,30.06.2028
Marko Dmitrovic,rs SRB,GK,32-283,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,30,30,30,0,0,0,0,7,2,0.0,0.0,0.0,0,19,11,0,0,13,13,13,0,1,0,0,0,,0,0,0,0,14,0,0,0,0,,€800k,30.06.2028
Julian Alvarez,ar ARG,FW,24-277,"Sunday November 3, 2024",0,2,0.1,0.1,0.1,0.1,1,28,28,28,4,4,0,0,4,2,0.1,0.1,0.1,0,26,2,0,0,25,25,25,0,0,0,27,8,0.0,2,0,4,2,29,6,1,0,1,50.0,€100.00m,30.06.2030
Angel Correa,ar ARG,FW,29-239,"Sunday November 3, 2024",0,1,0.1,0.1,0.0,0.0,0,13,13,13,1,1,1,1,1,1,0.0,0.0,0.0,1,13,0,0,0,9,9,9,0,0,0,10,1,50.0,1,1,1,1,15,4,0,0,0,,,
Antoine Griezmann,fr FRA,FW,33-227,"Sunday November 3, 2024",0,3,0.5,0.5,0.0,0.0,1,36,36,36,6,6,1,1,5,4,0.0,0.0,0.1,3,30,5,0,4,19,19,19,1,0,0,30,6,50.0,1,1,0,1,31,3,0,4,1,50.0,€18.00m,30.06.2027
Alexander Sørloth,no NOR,FW,28-334,"Sunday November 3, 2024",1,1,0.4,0.4,0.0,0.0,1,9,9,9,0,0,0,0,2,0,0.0,0.0,0.0,0,9,0,0,0,4,4,4,0,0,0,5,3,,0,0,0,0,8,2,0,0,3,50.0,€25.00m,30.06.2028
Samuel Lino,br BRA,LM,24-316,"Sunday November 3, 2024",0,1,0.0,0.0,0.0,0.0,2,26,26,26,4,4,0,0,6,0,0.0,0.0,0.0,2,25,1,0,0,24,24,24,0,0,0,11,2,,0,2,0,1,22,4,1,0,1,100.0,,
Conor Gallagher,eng ENG,"LM,CM",24-271,"Sunday November 3, 2024",0,1,0.0,0.0,0.0,0.0,0,26,26,26,2,2,0,0,5,1,0.0,0.0,0.1,2,26,0,0,1,25,25,25,0,0,0,12,0,,0,1,0,3,23,2,1,1,0,0.0,€40.00m,30.06.2029
Pablo Barrios,es ESP,CM,21-141,"Sunday November 3, 2024",0,3,0.2,0.2,0.4,0.4,1,26,26,26,1,1,0,0,6,1,0.4,0.4,0.2,3,25,1,0,4,19,19,19,0,1,0,13,2,,0,2,0,1,22,2,1,4,1,100.0,€55.00m,30.06.2030
Rodrigo De Paul,ar ARG,CM,30-163,"Sunday November 3, 2024",0,0,0.0,0.0,0.4,0.4,4,46,46,46,7,7,0,0,7,4,0.4,0.4,0.4,4,44,2,3,1,43,43,43,0,0,0,11,0,,0,3,1,1,41,0,0,1,0,0.0,,
Koke,es ESP,CM,32-300,"Sunday November 3, 2024",0,1,0.0,0.0,0.0,0.0,3,81,81,81,5,5,2,2,21,2,0.0,0.0,0.1,7,77,4,0,0,72,72,72,0,2,0,20,1,66.7,1,3,2,0,65,0,0,0,0,0.0,€8.00m,30.06.2026
Giuliano Simeone,ar ARG,RM,21-321,"Sunday November 3, 2024",1,1,0.2,0.2,0.1,0.1,3,41,41,41,4,4,2,2,4,0,0.1,0.1,0.1,0,41,0,0,3,29,29,29,0,0,0,32,5,40.0,2,3,5,0,39,12,1,3,0,0.0,€35.00m,30.06.2028
Axel Witsel,be BEL,CB,35-296,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,8,8,8,0,0,0,0,1,3,0.0,0.0,0.0,0,8,0,0,0,7,7,7,0,0,0,0,0,,0,0,0,0,5,0,0,0,1,50.0,€2.00m,30.06.2026
Javi Galan,es ESP,LB,29-350,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,4,43,43,43,2,2,1,1,12,2,0.0,0.0,0.1,1,34,9,0,4,35,35,35,0,0,0,23,1,14.3,4,2,1,3,31,7,3,4,1,33.3,€4.00m,30.06.2026
Reinildo Mandava,mz MOZ,LB,30-287,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,11,11,11,0,0,0,0,2,1,0.0,0.0,0.0,0,8,3,0,0,7,7,7,0,0,0,3,1,,0,1,0,1,7,1,0,0,0,,€5.00m,30.06.2027
Clement Lenglet,fr FRA,CB,29-139,"Sunday November 3, 2024",0,1,0.1,0.1,0.0,0.0,0,63,63,63,6,6,0,0,25,5,0.0,0.0,0.0,5,61,2,0,0,54,54,54,0,1,0,5,2,,0,2,1,0,54,0,3,0,4,50.0,€7.50m,30.06.2028
Jose Maria Gimenez,uy URU,CB,29-288,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,1,43,43,43,0,0,0,0,28,4,0.0,0.0,0.0,1,42,1,0,0,42,42,42,0,1,0,2,1,,0,0,1,0,33,0,0,0,1,20.0,€20.00m,30.06.2028
Nahuel Molina,ar ARG,RB,26-211,"Sunday November 3, 2024",0,0,0.0,0.0,0.3,0.3,3,79,79,79,6,6,0,0,22,3,0.3,0.3,0.3,8,62,17,1,6,60,60,60,0,1,0,20,1,0.0,1,1,1,1,53,5,2,6,0,,€20.00m,30.06.2027
Jan Oblak,si SVN,GK,31-301,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,18,18,18,0,0,0,0,8,2,0.0,0.0,0.0,0,14,4,0,0,15,15,15,0,0,0,0,0,,0,0,0,0,7,0,0,0,0,,€20.00m,30.06.2028
Fabio Silva,pt POR,"FW,RW",22-107,"Sunday November 3, 2024",0,1,0.0,0.0,0.0,0.0,1,24,24,24,1,1,1,1,5,1,0.0,0.0,0.0,1,22,2,0,0,10,10,10,0,2,0,4,1,25.0,3,0,2,0,23,4,1,0,4,57.1,€20.00m,30.06.2026
Jaime Mata,es ESP,FW,36-010,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,,
Alberto Moleiro,es ESP,"LW,LM",21-034,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,27,27,27,2,2,1,1,6,0,0.0,0.0,0.0,1,27,0,0,2,19,19,19,0,0,0,16,1,20.0,3,6,1,0,28,6,0,2,0,0.0,€25.00m,30.06.2030
Sandro Ramirez,es ESP,RW,29-117,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,1,21,21,21,1,1,0,0,4,1,0.0,0.0,0.0,1,20,1,0,2,12,12,12,0,0,0,5,0,,0,1,0,0,12,1,3,2,1,50.0,,
Oliver McBurnie,sct SCO,FW,28-152,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,6,6,6,0,0,0,0,2,0,0.0,0.0,0.0,0,5,1,0,0,3,3,3,0,0,0,2,0,,0,0,0,0,5,0,1,0,2,66.7,€3.00m,30.06.2029
Jose Campana,es ESP,LM,31-156,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,37,37,37,5,5,0,0,16,6,0.0,0.0,0.0,3,33,4,0,1,35,35,35,0,2,0,1,0,,0,0,0,2,30,0,0,1,0,,,
Javier Munoz,es ESP,"LM,CM",29-249,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,19,19,19,2,2,1,1,5,4,0.0,0.0,0.0,2,19,0,0,0,14,14,14,0,1,0,1,0,100.0,0,0,1,0,16,1,2,0,1,100.0,€2.00m,30.06.2028
Dario Essugo,pt POR,CM,19-234,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,41,41,41,3,3,1,1,12,1,0.0,0.0,0.0,2,41,0,0,0,33,33,33,0,4,2,3,0,50.0,1,0,3,0,36,0,0,0,4,100.0,€20.00m,30.06.2033
Kirian Rodriguez,es ESP,RM,28-243,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,39,39,39,1,1,1,1,12,4,0.0,0.0,0.0,0,37,2,0,1,33,33,33,0,1,0,5,0,50.0,1,0,1,0,32,3,0,1,2,66.7,,
Manuel Fuster,es ESP,RM,27-012,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,7,7,7,0,0,0,0,1,1,0.0,0.0,0.0,1,7,0,0,0,6,6,6,0,1,0,1,0,,0,0,1,1,3,0,0,0,0,,,
Alex Munoz,es ESP,LB,30-096,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,32,32,32,2,2,0,0,9,2,0.0,0.0,0.0,2,24,8,0,0,25,25,25,0,6,0,3,1,0.0,2,1,2,0,20,2,2,0,3,100.0,,
Scott McKenna,sct SCO,CB,27-357,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,47,47,47,0,0,0,0,22,1,0.0,0.0,0.0,0,47,0,0,0,40,40,40,0,9,0,1,0,,0,0,1,0,38,0,0,0,4,57.1,,
Alex Suarez,es ESP,CB,31-230,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,39,39,39,0,0,0,0,16,2,0.0,0.0,0.0,0,35,4,0,0,32,32,32,0,3,0,0,0,,0,0,0,0,29,0,1,0,0,0.0,,
Mika Marmol,es ESP,CB,23-125,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,16,16,16,1,1,0,0,7,2,0.0,0.0,0.0,1,16,0,0,0,16,16,16,0,1,0,0,0,,0,0,0,0,14,0,0,0,0,,,
Viti,es ESP,RB,27-048,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,38,38,38,1,1,0,0,11,4,0.0,0.0,0.0,1,26,12,1,2,29,29,29,0,1,0,13,0,0.0,2,1,3,0,22,2,3,2,0,0.0,,
Jasper Cillessen,nl NED,GK,35-195,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,34,34,34,0,0,0,0,10,5,0.0,0.0,0.0,0,23,11,0,0,19,19,19,0,1,0,0,0,,0,0,0,0,18,0,0,0,0,,,
Dinko Horkas,hr CRO,GK,25-238,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,16,16,16,0,0,0,0,7,2,0.0,0.0,0.0,0,12,4,0,0,12,12,12,0,0,0,0,0,,0,0,0,0,9,0,0,0,0,,,
Robert Lewandowski,pl POL,FW,36-074,"Sunday November 3, 2024",0,2,0.1,0.1,0.1,0.1,2,26,26,26,4,4,0,0,8,0,0.1,0.1,0.1,3,24,1,0,0,22,22,22,1,2,0,19,3,,0,1,1,4,31,10,3,0,1,33.3,€12.00m,30.06.2026
Raphinha,br BRA,LW,27-325,"Sunday November 3, 2024",1,1,0.5,0.5,0.1,0.1,6,48,48,48,4,4,1,1,6,3,0.1,0.1,0.2,3,37,11,0,8,34,34,34,0,1,0,44,3,25.0,2,5,4,2,43,10,0,8,0,0.0,€90.00m,30.06.2028
Ansu Fati,es ESP,LW,22-003,"Sunday November 3, 2024",0,1,0.0,0.0,0.0,0.0,0,8,8,8,1,1,0,0,1,0,0.0,0.0,0.0,0,7,0,0,0,6,6,6,1,0,0,6,1,,0,1,0,0,8,2,0,0,0,,€5.00m,30.06.2026
Lamine Yamal,es ESP,RW,17-113,"Sunday November 3, 2024",0,4,0.1,0.1,0.5,0.5,5,46,46,46,8,8,3,3,19,1,0.5,0.5,0.4,2,45,1,1,2,35,35,35,0,0,0,36,8,30.0,7,3,1,2,52,12,1,2,0,,€200.00m,30.06.2031
Dani Olmo,es ESP,AM,26-180,"Sunday November 3, 2024",2,4,0.9,0.9,0.0,0.0,0,21,21,21,0,0,1,1,4,0,0.0,0.0,0.1,1,20,1,0,0,15,15,15,0,0,0,16,6,50.0,1,3,0,1,25,7,1,0,2,66.7,€60.00m,30.06.2030
Fermin Lopez,es ESP,AM,21-176,"Sunday November 3, 2024",0,1,0.0,0.0,0.1,0.1,1,28,28,28,3,3,0,0,3,1,0.1,0.1,0.3,1,27,0,0,0,24,24,24,1,0,0,17,1,0.0,1,0,0,0,27,6,0,0,1,100.0,€50.00m,30.06.2029
Pedri,es ESP,DM,21-344,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,101,101,101,6,6,0,0,35,4,0.0,0.0,0.1,8,96,5,0,2,90,90,90,0,1,0,17,0,,0,4,0,1,88,1,0,2,0,,€140.00m,30.06.2030
Gavi,es ESP,DM,20-090,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,9,9,9,1,1,0,0,4,0,0.0,0.0,0.0,0,9,0,0,0,7,7,7,0,0,0,3,0,,0,0,1,0,10,0,0,0,0,,€60.00m,30.06.2030
Marc Casado,es ESP,DM,21-050,"Sunday November 3, 2024",0,0,0.0,0.0,0.5,0.5,3,58,58,58,1,1,0,0,16,3,0.5,0.5,0.3,7,57,1,1,0,56,56,56,0,1,0,7,0,,0,2,1,0,54,2,1,0,0,,€30.00m,30.06.2028
Frenkie de Jong,nl NED,DM,27-175,"Sunday November 3, 2024",0,0,0.0,0.0,0.1,0.1,1,51,51,51,9,9,0,0,19,2,0.1,0.1,0.0,9,50,1,1,0,48,48,48,0,0,0,8,0,,0,0,0,0,46,1,1,0,0,,€45.00m,30.06.2026
Alejandro Balde,es ESP,LB,21-016,"Sunday November 3, 2024",0,0,0.0,0.0,0.1,0.1,1,56,56,56,3,3,0,0,22,2,0.1,0.1,0.0,2,47,9,0,2,49,49,49,0,1,0,10,2,0.0,1,1,1,0,42,4,2,2,0,0.0,€30.00m,30.06.2027
Alejandro Balde,es ESP,LB,21-016,"Sunday November 3, 2024",0,0,0.0,0.0,0.1,0.1,1,56,56,56,3,3,0,0,22,2,0.1,0.1,0.0,2,47,9,0,2,49,49,49,0,1,0,10,2,0.0,1,1,1,0,42,4,2,2,0,0.0,€60.00m,30.06.2028
Alejandro Balde,es ESP,LB,21-016,"Sunday November 3, 2024",0,0,0.0,0.0,0.1,0.1,1,56,56,56,3,3,0,0,22,2,0.1,0.1,0.0,2,47,9,0,2,49,49,49,0,1,0,10,2,0.0,1,1,1,0,42,4,2,2,0,0.0,€3.00m,30.06.2028
Inigo Martinez,es ESP,CB,33-170,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,2,130,130,130,12,12,0,0,56,10,0.0,0.0,0.1,8,126,4,0,0,123,123,123,0,5,1,6,1,,0,5,2,0,113,1,2,0,3,100.0,,
Pau Cubarsi,es ESP,CB,17-286,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,2,117,117,117,8,8,0,0,72,5,0.0,0.0,0.0,8,115,2,0,0,115,115,115,0,2,0,1,1,,0,0,0,0,104,0,0,0,2,100.0,€80.00m,30.06.2029
Hector Fort,es ESP,RB,18-093,"Sunday November 3, 2024",0,1,0.1,0.1,0.3,0.3,2,59,59,59,2,2,0,0,21,2,0.3,0.3,0.6,6,54,5,0,3,53,53,53,0,3,0,16,4,,0,1,1,0,50,6,2,3,1,25.0,€10.00m,30.06.2026
Jules Kounde,fr FRA,RB,25-357,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,1,11,11,11,1,1,1,1,7,0,0.0,0.0,0.0,0,8,3,0,0,11,11,11,0,1,0,5,2,50.0,1,2,0,1,8,1,0,0,0,,€65.00m,30.06.2030
Inaki Pena,es ESP,GK,25-246,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,30,30,30,0,0,0,0,22,3,0.0,0.0,0.0,0,19,11,0,0,29,29,29,0,0,0,0,0,,0,0,0,0,14,0,0,0,0,,€8.00m,30.06.2026
Javi Puado,es ESP,FW,26-162,"Sunday November 3, 2024",1,4,0.6,0.6,0.0,0.0,0,9,9,9,0,0,0,0,3,0,0.0,0.0,0.0,0,5,4,0,0,7,7,7,0,0,0,6,4,0.0,1,1,3,0,11,3,1,0,0,0.0,€10.00m,30.06.2030
Jofre,es ESP,"LM,LW,RM",23-139,"Sunday November 3, 2024",0,1,0.1,0.1,0.0,0.0,2,16,16,16,2,2,0,0,3,0,0.0,0.0,0.0,1,15,0,0,1,10,10,10,1,1,0,10,4,0.0,2,2,1,0,18,5,1,1,0,0.0,,
Alvaro Aguado,es ESP,"CM,AM",28-186,"Sunday November 3, 2024",0,2,0.0,0.0,0.0,0.0,3,26,26,26,3,3,0,0,7,2,0.0,0.0,0.0,5,24,1,0,0,16,16,16,1,0,0,6,1,,0,0,1,0,16,0,0,0,1,100.0,€1.40m,30.06.2027
Walid Cheddira,ma MAR,FW,26-286,"Sunday November 3, 2024",0,1,0.1,0.1,0.0,0.0,1,3,3,3,0,0,1,1,0,0,0.0,0.0,0.0,0,3,0,0,0,1,1,1,0,1,0,4,4,50.0,1,0,1,0,6,0,4,0,0,,€2.50m,30.06.2028
Alex Kral,cz CZE,"CM,DM",26-168,"Sunday November 3, 2024",0,0,0.0,0.0,0.1,0.1,3,21,21,21,2,2,1,1,3,1,0.1,0.1,0.0,2,20,0,1,0,15,15,15,1,1,0,4,1,100.0,0,1,3,2,19,1,1,0,0,0.0,€6.00m,-
Alvaro Tejero,es ESP,"RM,RW,RB",28-106,"Sunday November 3, 2024",0,1,0.1,0.1,0.2,0.2,4,33,33,33,0,0,0,0,7,2,0.2,0.2,0.1,0,24,9,0,7,20,20,20,0,0,1,17,4,,0,1,2,1,17,4,2,7,1,100.0,,
Rafael Bauza,es ESP,DM,19-278,"Sunday November 3, 2024",0,1,0.0,0.0,0.0,0.0,1,17,17,17,2,2,1,1,2,2,0.0,0.0,0.0,0,15,2,0,0,14,14,14,0,2,0,2,0,50.0,1,1,0,0,13,0,3,0,3,75.0,€200k,30.06.2028
Justin Smith,ca CAN,CM,21-273,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,5,5,5,0,0,0,0,1,0,0.0,0.0,0.0,0,4,1,0,0,2,2,2,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,,,
Carlos Romero,es ESP,LB,23-005,"Sunday November 3, 2024",0,0,0.0,0.0,0.3,0.3,2,19,19,19,4,4,0,0,2,4,0.3,0.3,0.2,2,12,7,0,4,12,12,12,0,2,0,10,0,,0,0,3,0,9,2,0,4,0,0.0,€5.00m,30.06.2026
Brian Olivan,es ESP,LB,30-216,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,0,1,0.0,0.0,0.0,1,3,0,0,0,2,2,2,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,,,
Leandro Cabrera,uy URU,CB,33-139,"Sunday November 3, 2024",0,0,0.0,0.0,0.1,0.1,1,26,26,26,1,1,0,0,8,4,0.1,0.1,0.1,1,21,5,0,0,17,17,17,0,5,0,1,1,,0,0,1,0,10,0,0,0,1,100.0,€1.00m,30.06.2026
Marash Kumbulla,al ALB,CB,24-269,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,8,8,8,0,0,0,0,2,1,0.0,0.0,0.0,1,7,0,0,0,5,5,5,1,1,0,0,0,,0,0,0,0,7,0,0,0,0,0.0,€7.50m,30.06.2026
Sergi Gomez,es ESP,CB,32-220,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,9,9,9,0,0,0,0,4,1,0.0,0.0,0.0,0,9,0,0,0,7,7,7,0,5,0,0,0,,0,0,0,0,6,0,0,0,0,0.0,,
