Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Rodrigo Muniz,br BRA,FW,23-104,"Friday August 16, 2024",0,2,0.1,0.1,0.1,0.1,2,6,6,6,1,1,1,1,2,1,0.1,0.1,0.0,0,6,0,0,0,5,5,5,0,1,0,6,4,100.0,0,0,3,3,14,3,0,0,4,40.0,€20.00m,30.06.2026
Raul Jimenez,mx MEX,FW,33-103,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,1,1,0.0,0.0,0.0,0,4,0,0,0,2,2,2,0,0,0,3,0,,0,1,1,0,3,1,0,0,1,33.3,€5.00m,30.06.2026
Alex Iwobi,ng NGA,LW,28-105,"Friday August 16, 2024",0,1,0.0,0.0,0.0,0.0,0,29,29,29,2,2,1,1,5,1,0.0,0.0,0.1,1,28,0,1,3,19,19,19,1,1,0,15,4,20.0,4,3,2,2,29,6,1,3,0,0.0,€28.00m,30.06.2028
Adama Traore,es ESP,RW,28-204,"Friday August 16, 2024",0,3,0.1,0.1,0.0,0.0,4,21,21,21,0,0,4,4,3,1,0.0,0.0,0.0,1,21,0,0,1,14,14,14,0,0,0,20,4,44.4,5,5,3,0,25,4,3,1,3,75.0,€9.00m,30.06.2026
Harry Wilson,wls WAL,RW,27-147,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,6,6,6,0,0,0,0,1,0,0.0,0.0,0.0,1,5,1,1,0,5,5,5,0,0,0,3,2,,0,0,2,0,6,2,0,0,1,100.0,€15.00m,30.06.2026
Emile Smith Rowe,eng ENG,AM,24-019,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,27,27,27,1,1,0,0,8,0,0.0,0.0,0.0,3,27,0,0,1,20,20,20,0,0,0,7,0,,0,1,1,0,25,2,0,1,1,100.0,€30.00m,30.06.2029
Tom Cairney,sct SCO,"DM,AM",33-209,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,1,17,17,17,4,4,2,2,10,0,0.0,0.0,0.1,1,17,0,0,1,15,15,15,0,0,0,7,2,66.7,1,1,0,0,16,1,1,1,0,0.0,€1.50m,30.06.2026
Sasa Lukic,rs SRB,DM,28-003,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,45,45,45,4,4,0,0,20,1,0.0,0.0,0.0,2,43,2,0,0,40,40,40,0,1,0,4,0,,0,0,0,0,27,0,0,0,0,,€14.00m,30.06.2027
Jay Stansfield,eng ENG,"AM,DM",21-266,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,,,
Andreas Pereira,br BRA,"DM,AM",28-228,"Friday August 16, 2024",0,0,0.0,0.0,0.3,0.3,9,55,55,55,5,5,0,0,12,5,0.3,0.3,0.2,3,39,16,0,12,37,37,37,0,0,0,29,1,0.0,1,2,1,0,28,5,2,12,2,50.0,€18.00m,30.06.2026
Harrison Reed,eng ENG,DM,29-202,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,0,0,,0,0,1,1,1,1,0,0,0,,€6.00m,30.06.2027
Antonee Robinson,us USA,LB,27-008,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,42,42,42,2,2,0,0,14,2,0.0,0.0,0.0,2,33,9,0,1,32,32,32,0,6,0,11,1,0.0,1,3,2,1,27,1,0,1,2,66.7,€35.00m,30.06.2028
Calvin Bassey,ng NGA,CB,24-229,"Friday August 16, 2024",0,2,0.1,0.1,0.0,0.0,1,62,62,62,5,5,0,0,31,3,0.0,0.0,0.0,4,58,4,0,0,57,57,57,0,3,1,3,2,,0,0,1,1,51,0,2,0,1,50.0,€25.00m,30.06.2027
Issa Diop,fr FRA,CB,27-220,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,35,35,35,2,2,0,0,19,5,0.0,0.0,0.0,2,31,4,0,0,28,28,28,0,5,0,0,0,,0,0,0,0,26,0,0,0,0,,€14.00m,30.06.2027
Kenny Tete,nl NED,RB,28-312,"Friday August 16, 2024",0,2,0.1,0.1,0.0,0.0,2,32,32,32,2,2,0,0,8,3,0.0,0.0,0.0,0,26,6,0,2,24,24,24,0,1,0,9,1,,0,3,0,1,20,2,0,2,0,0.0,€13.00m,30.06.2028
Bernd Leno,de GER,GK,32-165,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,42,42,42,0,0,0,0,20,5,0.0,0.0,0.0,0,33,9,0,0,30,30,30,0,0,1,0,0,,0,0,0,0,24,0,0,0,1,100.0,€10.00m,30.06.2027
Liam Delap,eng ENG,FW,21-191,"Saturday August 17, 2024",0,0,0.0,0.0,0.2,0.2,1,12,12,12,0,0,0,0,2,1,0.2,0.2,0.0,1,12,0,0,0,6,6,6,0,2,0,8,3,,0,2,2,2,15,2,1,0,1,33.3,€40.00m,30.06.2031
Ali Al Hamadi,iq IRQ,FW,22-169,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,1,0,1,1,,0,0,0,0,1,0,0,0,2,66.7,,
Omari Hutchinson,eng ENG,"LW,RW",20-292,"Saturday August 17, 2024",0,3,0.3,0.3,0.0,0.0,2,20,20,20,1,1,3,3,3,1,0.0,0.0,0.0,1,18,1,0,1,10,10,10,1,0,0,12,3,50.0,1,2,1,0,21,3,1,1,0,0.0,€22.00m,30.06.2030
Wes Burns,wls WAL,RW,29-268,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,15,15,15,0,0,0,0,2,2,0.0,0.0,0.0,0,14,1,0,1,9,9,9,0,0,0,10,1,0.0,1,2,1,1,15,4,2,1,1,50.0,,
Ben Johnson,eng ENG,"RB,RW",24-206,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,12,12,12,0,0,0,0,4,0,0.0,0.0,0.0,0,9,3,0,0,9,9,9,0,1,0,3,0,0.0,1,0,0,0,7,0,0,0,1,50.0,,
Conor Chaplin,eng ENG,AM,27-183,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,23,23,23,2,2,0,0,5,2,0.0,0.0,0.0,1,20,3,0,0,16,16,16,0,0,0,6,1,,0,0,0,0,20,1,0,0,0,0.0,,
Marcus Harness,eng ENG,AM,28-175,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,2,14,14,14,2,2,0,0,0,0,0.0,0.0,0.0,0,14,0,0,0,9,9,9,0,0,0,9,2,0.0,1,0,0,0,9,1,0,0,0,,,
Massimo Luongo,au AUS,DM,31-327,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,19,19,19,3,3,0,0,6,2,0.0,0.0,0.0,1,18,1,0,0,16,16,16,0,1,0,6,0,,0,0,1,0,16,1,1,0,1,100.0,,
Jack Taylor,ie IRL,DM,26-055,"Saturday August 17, 2024",0,1,0.0,0.0,0.0,0.0,0,19,19,19,3,3,0,0,10,1,0.0,0.0,0.0,2,19,0,0,0,15,15,15,0,2,0,5,0,,0,0,0,0,15,1,1,0,0,,,
Sam Morsy,eg EGY,DM,32-342,"Saturday August 17, 2024",0,0,0.0,0.0,0.1,0.1,1,47,47,47,1,1,0,0,15,3,0.1,0.1,0.1,4,43,3,0,1,37,37,37,1,1,0,9,1,,0,0,1,1,33,2,0,1,1,50.0,,
Leif Davis,eng ENG,LB,24-218,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,3,41,41,41,2,2,0,0,10,1,0.0,0.0,0.0,3,27,13,0,5,29,29,29,1,4,0,17,0,,0,1,2,0,22,3,2,5,0,,,
Jacob Greaves,eng ENG,CB,23-340,"Saturday August 17, 2024",0,2,0.1,0.1,0.0,0.0,0,30,30,30,2,2,0,0,15,2,0.0,0.0,0.0,1,30,0,0,0,25,25,25,0,8,0,7,2,,0,0,0,0,27,1,0,0,3,60.0,,
Luke Woolfenden,eng ENG,CB,25-301,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,55,55,55,2,2,0,0,25,2,0.0,0.0,0.0,2,49,4,0,0,48,48,48,2,7,0,1,1,,0,0,0,0,38,0,1,0,1,50.0,,
Axel Tuanzebe,cd COD,RB,26-277,"Saturday August 17, 2024",0,1,0.1,0.1,0.0,0.0,0,27,27,27,1,1,0,0,7,1,0.0,0.0,0.0,2,23,4,0,0,23,23,23,0,1,0,1,1,,0,0,1,0,19,0,0,0,0,0.0,€5.00m,-
Sammie Szmodics,ie IRL,LW,28-328,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,4,4,4,2,2,0,0,0,1,0.0,0.0,0.0,1,4,0,0,0,4,4,4,0,0,0,3,0,0.0,1,0,2,0,7,2,0,0,0,,,
Christian Walton,eng ENG,GK,28-282,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,42,42,42,0,0,0,0,10,7,0.0,0.0,0.0,0,32,10,0,0,33,33,33,0,0,0,0,0,,0,0,0,0,21,0,0,0,0,,€6.50m,30.06.2028
Diogo Jota,pt POR,FW,27-257,"Saturday August 17, 2024",1,3,0.9,0.9,0.0,0.0,1,15,15,15,2,2,1,1,2,2,0.0,0.0,0.0,2,15,0,0,1,9,9,9,0,1,0,18,10,50.0,1,2,1,4,17,7,0,1,3,60.0,,
Cody Gakpo,nl NED,FW,25-102,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,10,10,10,0,0,0,0,1,0,0.0,0.0,0.0,0,10,0,0,3,7,7,7,0,1,0,4,3,,0,0,0,0,9,5,1,3,0,,€70.00m,30.06.2028
Luis Diaz,co COL,LW,27-217,"Saturday August 17, 2024",0,3,0.5,0.5,0.3,0.3,7,36,36,36,2,2,5,5,6,4,0.3,0.3,0.4,2,34,2,0,0,31,31,31,0,1,0,29,9,100.0,0,4,1,4,34,10,3,0,2,66.7,€70.00m,30.06.2029
Mohamed Salah,eg EGY,RW,32-063,"Saturday August 17, 2024",1,4,0.7,0.7,0.5,0.5,3,34,34,34,1,1,0,0,7,4,0.5,0.5,0.2,1,34,0,0,1,25,25,25,0,1,0,26,10,0.0,2,1,2,1,38,11,3,1,0,,€50.00m,30.06.2027
Dominik Szoboszlai,hu HUN,AM,23-297,"Saturday August 17, 2024",0,3,0.2,0.2,0.4,0.4,4,50,50,50,6,6,1,1,15,3,0.4,0.4,0.2,3,46,4,2,2,44,44,44,0,1,0,23,4,100.0,0,1,2,0,42,3,2,2,1,33.3,€80.00m,30.06.2028
Alexis Mac Allister,ar ARG,DM,25-237,"Saturday August 17, 2024",0,2,0.1,0.1,0.0,0.0,3,50,50,50,7,7,1,1,18,4,0.0,0.0,0.1,5,49,1,1,1,42,42,42,0,1,0,24,2,14.3,6,0,1,0,42,0,1,1,2,66.7,€100.00m,30.06.2028
Ryan Gravenberch,nl NED,DM,22-093,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,59,59,59,5,5,1,1,20,3,0.0,0.0,0.4,6,59,0,2,0,51,51,51,0,0,0,16,0,50.0,1,3,0,0,50,0,5,0,1,100.0,€75.00m,30.06.2028
Andrew Robertson,sct SCO,LB,30-159,"Saturday August 17, 2024",0,0,0.0,0.0,0.2,0.2,2,79,79,79,3,3,0,0,33,1,0.2,0.2,0.1,2,58,21,0,11,61,61,61,0,2,0,26,2,0.0,1,1,1,0,50,2,1,11,0,0.0,€18.00m,30.06.2026
Kostas Tsimikas,gr GRE,LB,28-097,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,13,13,13,5,5,0,0,4,1,0.0,0.0,0.0,1,13,0,0,0,12,12,12,0,0,0,4,0,,0,1,0,0,12,0,0,0,0,,€18.00m,30.06.2027
